transmission:T: -Re(T) vs lambda

lambda(nm), -Re(T)
500, 0.587282
501.001, 0.58841
502.001, 0.589738
503.002, 0.590108
504.003, 0.59179
505.003, 0.591934
506.004, 0.59334
507.005, 0.593842
508.005, 0.594551
509.006, 0.595612
510.007, 0.595655
511.007, 0.597051
512.008, 0.596789
513.009, 0.598097
514.009, 0.597952
515.01, 0.598811
516.011, 0.599052
517.011, 0.599307
518.012, 0.599983
519.013, 0.599684
520.013, 0.600675
521.014, 0.599996
522.015, 0.601102
523.015, 0.600253
524.016, 0.601279
525.017, 0.60044
526.017, 0.601237
527.018, 0.600527
528.019, 0.601015
529.019, 0.600492
530.02, 0.600641
531.021, 0.600318
532.021, 0.600142
533.022, 0.6
534.023, 0.599533
535.023, 0.599541
536.024, 0.598829
537.025, 0.598952
538.025, 0.598044
539.026, 0.598248
540.027, 0.597199
541.027, 0.597452
542.028, 0.596323
543.029, 0.596591
544.029, 0.59546
545.03, 0.595707
546.031, 0.594681
547.031, 0.594861
548.032, 0.594098
549.033, 0.594151
550.033, 0.593895
551.034, 0.593748
552.035, 0.594392
553.035, 0.593972
554.036, 0.596204
555.037, 0.595483
556.037, 0.600734
557.038, 0.599892
558.039, 0.612343
559.039, 0.612857
560.04, 0.668116
561.041, 0.705775
562.041, 0.725273
563.042, 0.735986
564.043, 0.708513
565.043, 0.740887
566.044, 0.738113
567.045, 0.721504
568.045, 0.727102
569.046, 0.729737
570.047, 0.734033
571.047, 0.723509
572.048, 0.722881
573.049, 0.720132
574.049, 0.721119
575.05, 0.719112
576.051, 0.71298
577.051, 0.710403
578.052, 0.702084
579.053, 0.699275
580.053, 0.683635
581.054, 0.64695
582.055, 0.617495
583.055, 0.599193
584.056, 0.577152
585.057, 0.556515
586.057, 0.542189
587.058, 0.527506
588.059, 0.513282
589.059, 0.503062
590.06, 0.491655
591.061, 0.477835
592.061, 0.468162
593.062, 0.456118
594.063, 0.442891
595.063, 0.433156
596.064, 0.420206
597.065, 0.408756
598.065, 0.39787
599.066, 0.385431
600.067, 0.375326
601.067, 0.363797
602.068, 0.353195
603.069, 0.343386
604.069, 0.332659
605.07, 0.323654
606.071, 0.313968
607.071, 0.304953
608.072, 0.296709
609.073, 0.287862
610.073, 0.28049
611.074, 0.272792
612.075, 0.265349
613.075, 0.258796
614.076, 0.251697
615.077, 0.245643
616.077, 0.239684
617.078, 0.233633
618.079, 0.228482
619.079, 0.222926
620.08, 0.217897
621.081, 0.213347
622.081, 0.208538
623.082, 0.204522
624.083, 0.200488
625.083, 0.196509
626.084, 0.193177
627.085, 0.189613
628.085, 0.186446
629.086, 0.183667
630.087, 0.180722
631.087, 0.178333
632.088, 0.176059
633.089, 0.173772
634.089, 0.172007
635.09, 0.170181
636.091, 0.168509
637.091, 0.167247
638.092, 0.165874
639.093, 0.164778
640.093, 0.163961
641.094, 0.16305
642.095, 0.162465
643.095, 0.162037
644.096, 0.161554
645.097, 0.161392
646.097, 0.1613
647.098, 0.161197
648.099, 0.16139
649.099, 0.161605
650.1, 0.161847
651.101, 0.162353
652.101, 0.162858
653.102, 0.163411
654.103, 0.164195
655.103, 0.164967
656.104, 0.165791
657.105, 0.166814
658.105, 0.16782
659.106, 0.16887
660.107, 0.170096
661.107, 0.171305
662.108, 0.172544
663.109, 0.173941
664.109, 0.175329
665.11, 0.176729
666.111, 0.178276
667.111, 0.179825
668.112, 0.181367
669.113, 0.183044
670.113, 0.184739
671.114, 0.186406
672.115, 0.188192
673.115, 0.190017
674.116, 0.191794
675.117, 0.193668
676.117, 0.195604
677.118, 0.197478
678.119, 0.199416
679.119, 0.201443
680.12, 0.203405
681.121, 0.205391
682.121, 0.207485
683.122, 0.20953
684.123, 0.211551
685.123, 0.213691
686.124, 0.215814
687.125, 0.217868
688.125, 0.220028
689.126, 0.222222
690.127, 0.224316
691.127, 0.226475
692.128, 0.228723
693.129, 0.23087
694.129, 0.233015
695.13, 0.235289
